# BanRep aggregate-remittance inflows (USD millions).
# Source: Banco de la Republica - "Ingresos de Remesas de trabajadores"
#         suameca.banrep.gov.co series id 4150, idPlan=REMESAS_TRIMESTRAL.
# Cadence (Rev-2 real-world constraint): QUARTERLY. No BanRep-published
#         monthly aggregate-inflow series exists; reference_period rows
#         therefore fall on quarter-end days. See Task-11 test file
#         docstring and contracts/data/banrep_mpr_sources.md for full
#         provenance and methodology notes.
# Compiled manually per Task 11 Rev-2 protocol (no public monthly API
#         available). Real BanRep values, not synthetic.
# Schema: reference_period (YYYY-MM-DD quarter-end), value_usd (float USD
#         millions), mpr_vintage_date (YYYY-MM-DD; BanRep fechaUltimoCargue
#         of the captured snapshot), source_url.
reference_period,value_usd,mpr_vintage_date,source_url
2011-03-31,970.49,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2011-06-30,984.32,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2011-09-30,1028.42,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2011-12-31,1080.87,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2012-03-31,935.53,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2012-06-30,1004.61,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2012-09-30,990.26,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2012-12-31,1039.26,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2013-03-31,980.90,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2013-06-30,1155.79,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2013-09-30,1120.60,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2013-12-31,1143.76,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2014-03-31,1021.50,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2014-06-30,948.55,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2014-09-30,1004.74,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2014-12-31,1118.42,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2015-03-31,1146.90,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2015-06-30,1112.54,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2015-09-30,1412.82,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2015-12-31,1285.12,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2016-03-31,1275.59,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2016-06-30,1237.56,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2016-09-30,1266.28,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2016-12-31,1368.03,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2017-03-31,1308.40,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
