timestamp_utc,source,req_per_sec,cu_per_sec,cu_cumulative,cap_pct,action_taken
2026-05-03T23:38:18Z,sqd_network_cel,1.13,0,0,0,query_logs_block_20635912_to_22135911_attempt_0_status_200
2026-05-03T23:38:18Z,sqd_network_cel,3.19,0,0,0,worker_discover_block_22135912
2026-05-03T23:38:19Z,sqd_network_cel,1.32,0,0,0,query_logs_block_22135912_to_23635911_attempt_0_status_200
2026-05-03T23:38:20Z,sqd_network_cel,3.71,0,0,0,worker_discover_block_23635912
2026-05-03T23:38:22Z,sqd_network_cel,0.68,0,0,0,query_logs_block_23635912_to_25135911_attempt_0_status_200
2026-05-03T23:38:22Z,sqd_network_cel,3.08,0,0,0,worker_discover_block_25135912
2026-05-03T23:38:23Z,sqd_network_cel,1.91,0,0,0,query_logs_block_25135912_to_26635911_attempt_0_status_200
2026-05-03T23:38:24Z,sqd_network_cel,3.73,0,0,0,worker_discover_block_26635912
2026-05-03T23:38:26Z,sqd_network_cel,0.5,0,0,0,query_logs_block_26635912_to_28135911_attempt_0_status_200
2026-05-03T23:38:26Z,sqd_network_cel,3.53,0,0,0,worker_discover_block_28135912
2026-05-03T23:38:27Z,sqd_network_cel,1.44,0,0,0,query_logs_block_28135912_to_29635911_attempt_0_status_200
2026-05-03T23:38:28Z,sqd_network_cel,3.44,0,0,0,worker_discover_block_20635912
2026-05-03T23:38:29Z,sqd_network_cel,1.13,0,0,0,query_logs_block_20635912_to_22135911_attempt_0_status_200
2026-05-03T23:38:30Z,sqd_network_cel,3.74,0,0,0,worker_discover_block_22135912
2026-05-03T23:38:32Z,sqd_network_cel,0.68,0,0,0,query_logs_block_22135912_to_23635911_attempt_0_status_200
2026-05-03T23:38:32Z,sqd_network_cel,3.45,0,0,0,worker_discover_block_23635912
2026-05-03T23:38:34Z,sqd_network_cel,0.52,0,0,0,query_logs_block_23635912_to_25135911_attempt_0_status_200
2026-05-03T23:38:35Z,sqd_network_cel,3.34,0,0,0,worker_discover_block_25135912
2026-05-03T23:38:36Z,sqd_network_cel,1.81,0,0,0,query_logs_block_25135912_to_26635911_attempt_0_status_200
2026-05-03T23:38:36Z,sqd_network_cel,3.14,0,0,0,worker_discover_block_26635912
2026-05-03T23:38:39Z,sqd_network_cel,0.49,0,0,0,query_logs_block_26635912_to_28135911_attempt_0_status_200
2026-05-03T23:38:39Z,sqd_network_cel,3.32,0,0,0,worker_discover_block_28135912
2026-05-03T23:38:40Z,sqd_network_cel,1.58,0,0,0,query_logs_block_28135912_to_29635911_attempt_0_status_200
2026-05-03T23:38:41Z,sqd_network_cel,3.35,0,0,0,worker_discover_block_20635912
2026-05-03T23:38:42Z,sqd_network_cel,0.95,0,0,0,query_logs_block_20635912_to_22135911_attempt_0_status_200
2026-05-03T23:38:43Z,sqd_network_cel,3.43,0,0,0,worker_discover_block_22135912
2026-05-03T23:38:44Z,sqd_network_cel,0.86,0,0,0,query_logs_block_22135912_to_23635911_attempt_0_status_200
2026-05-03T23:38:45Z,sqd_network_cel,3.36,0,0,0,worker_discover_block_23635912
2026-05-03T23:38:47Z,sqd_network_cel,0.56,0,0,0,query_logs_block_23635912_to_25135911_attempt_0_status_200
2026-05-03T23:38:48Z,sqd_network_cel,3.45,0,0,0,worker_discover_block_25135912
2026-05-03T23:38:48Z,sqd_network_cel,1.97,0,0,0,query_logs_block_25135912_to_26635911_attempt_0_status_200
2026-05-03T23:38:49Z,sqd_network_cel,3.69,0,0,0,worker_discover_block_26635912
2026-05-03T23:38:51Z,sqd_network_cel,0.47,0,0,0,query_logs_block_26635912_to_28135911_attempt_0_status_200
2026-05-03T23:38:52Z,sqd_network_cel,3.33,0,0,0,worker_discover_block_28135912
2026-05-03T23:38:53Z,sqd_network_cel,1.2,0,0,0,query_logs_block_28135912_to_29635911_attempt_0_status_200
2026-05-03T23:38:54Z,sqd_network_cel,3.36,0,0,0,worker_discover_block_20635912
2026-05-03T23:38:58Z,sqd_network_cel,0.46,0,0,0,query_logs_block_20635912_to_22135911_attempt_0_status_200
2026-05-03T23:38:59Z,sqd_network_cel,3.65,0,0,0,worker_discover_block_22135912
2026-05-03T23:39:07Z,sqd_network_cel,0.29,0,0,0,query_logs_block_22135912_to_23635911_attempt_0_status_200
2026-05-03T23:39:07Z,sqd_network_cel,3.68,0,0,0,worker_discover_block_23635912
2026-05-03T23:39:13Z,sqd_network_cel,0.33,0,0,0,query_logs_block_23635912_to_25135911_attempt_0_status_200
2026-05-03T23:39:13Z,sqd_network_cel,3.17,0,0,0,worker_discover_block_25135912
2026-05-03T23:39:24Z,sqd_network_cel,0.27,0,0,0,query_logs_block_25135912_to_26635911_attempt_0_status_200
2026-05-03T23:39:25Z,sqd_network_cel,3.46,0,0,0,worker_discover_block_26635912
2026-05-03T23:39:32Z,sqd_network_cel,0.4,0,0,0,query_logs_block_26635912_to_28135911_attempt_0_status_200
2026-05-03T23:39:32Z,sqd_network_cel,3.35,0,0,0,worker_discover_block_28135912
2026-05-03T23:39:41Z,sqd_network_cel,0.29,0,0,0,query_logs_block_28135912_to_29635911_attempt_0_status_200
2026-05-03T23:39:42Z,sqd_network_cel,3.62,0,0,0,worker_discover_block_20635912
2026-05-03T23:39:45Z,sqd_network_cel,0.56,0,0,0,query_logs_block_20635912_to_22135911_attempt_0_status_200
2026-05-03T23:39:45Z,sqd_network_cel,3.43,0,0,0,worker_discover_block_22135912
2026-05-03T23:39:48Z,sqd_network_cel,0.56,0,0,0,query_logs_block_22135912_to_23635911_attempt_0_status_200
2026-05-03T23:39:49Z,sqd_network_cel,3.51,0,0,0,worker_discover_block_23635912
2026-05-03T23:39:53Z,sqd_network_cel,0.35,0,0,0,query_logs_block_23635912_to_25135911_attempt_0_status_200
2026-05-03T23:39:53Z,sqd_network_cel,3.63,0,0,0,worker_discover_block_25135912
2026-05-03T23:39:55Z,sqd_network_cel,0.89,0,0,0,query_logs_block_25135912_to_26635911_attempt_0_status_200
2026-05-03T23:39:56Z,sqd_network_cel,3.41,0,0,0,worker_discover_block_26635912
2026-05-03T23:39:59Z,sqd_network_cel,0.35,0,0,0,query_logs_block_26635912_to_28135911_attempt_0_status_200
2026-05-03T23:40:00Z,sqd_network_cel,3.66,0,0,0,worker_discover_block_28135912
2026-05-03T23:40:02Z,sqd_network_cel,0.79,0,0,0,query_logs_block_28135912_to_29635911_attempt_0_status_200
2026-05-03T23:40:02Z,sqd_network_cel,3.7,0,0,0,worker_discover_block_20635912
2026-05-03T23:40:06Z,sqd_network_cel,0.47,0,0,0,query_logs_block_20635912_to_22135911_attempt_0_status_200
