address,n_inbound,inbound_wei,n_outbound,outbound_wei
0xa16102a2172d6dd60a2d7137af49810435dcdd28,121,5027415070000000000000000,6,5027415070000000000000000
0x2920faca6d9ffb796902c770dc4a0df689a019a3,120,46561175860000000000000000,6,46309521681873306772908365
0x21d06974f8863b1b0c236bc3c5526dbf0051eab5,122,393720493588095949562214,3,346353021501071009590750
0x368b7b2cf34b9e581022ec69692711c8509b92c5,115,10685022070000000000000000,9,10685022070000000000000000
0x8c0a08dc8beb5115441671f18405da8e39ea5e04,66,962035118755191482721282515,57,962035118755185451636559759
0x2cd0afb24f5594f7386cb68cd6f6adc761fd00e3,117,17892418210000000000000000,3,17885401861154183266932270
0xe3d9b4d992d38372e2b20256cf440112647d8297,110,24142104650000000000000000,6,24142104650000000000000000
0x288dc841a52fca2707c6947b3a777c5e56cd87bc,45,5339593364065775669866670,68,262972597461871151867661
0x4b7b933ba39ce3ed35181e67474d64100dda312e,109,16607075470000000000000000,3,6619791165625099601593625
0x789dd1d477c1b7f2872ccd5065c98df94919f690,106,51899135350000000000000000,6,51899135350000000000000000
0x6eec68af3a6e3ce23c985e3555390253953a170d,100,7802038980000000000000000,6,7338495570512350597609561
0x9c8fbe1b1b916680cce1676d41d2b9ef0ed23a3c,99,7999999710000000000000000,6,7999999710000000000000000
0x0655e85eaa1d0c0c5a8cac500e40b61de7c5acb3,97,14368468890000000000000000,6,14117270091343824701195219
0xe30ce837457d4faf1bad958e2ca63c1db26cc013,103,19656086880000000000000000,0,0
0xbc4425cf99e1f4c04b8d4a32a61ddee43a32f600,98,36455876460000000000000000,3,27557121619182071713147410
0x25da23b9db8e0b59048f222d39e8124aa4b43b1f,93,8551055820000000000000000,3,5942716342911553784860557
0xe27d16b685e446e6c19a03f52aab4abcc2d29704,86,9687131330000000000000000,6,9687131330000000000000000
0xebc9be6f131cb3fe59d85598f6ffd04b12e3ec56,86,15881764250000000000000000,6,15881764250000000000000000
0x2fcbd7ae7f2e84e7b69618d069625c957309daa1,46,64437415234447319425052549,45,64437415234447319425052549
0xaac25787742a41fe605ab95cca8f08555f114426,85,41121161150000000000000000,5,41121161150000000000000000
0x5615cdab10dc425a742d643d949a7f474c01abc4,38,9688723929406611101683852,51,9688723929406611101683852
0xa15e3295465439a361dbcac79c1dbce6cd01e562,6,6374796957072475141648147,82,6287009867470530783416189
0x7fd391e06b07ffbacf48ed7a3332e66c1a931c16,81,11049840880000000000000000,6,11049840880000000000000000
0x459c30fbb2a312be72bbc27c800e913bcd081b41,80,2548934270000000000000000,6,2548934270000000000000000
0x6facf3c8c0db15daf796014ea6f87182f57f2501,29,1874141797295648494500679,56,1874141797295648494500679
0x58fed073ab2dd25c4c5c4265183e2e88e86be9e5,85,13278369530000000000000000,0,0
0x0a6a748f9408b118cbd9f2186f325fd0139c4e1b,77,4558476320000000000000000,8,4558476320000000000000000
0x408da6af24a2074f32ebf2b952639162eb8c26cc,42,4158428246732788665043685,42,4158428246732788665043685
0x5180af414747cbc20780d3ca98fd3c584bff4cbe,75,12658918560000000000000000,8,12658918560000000000000000
