evt_block_date,evt_block_time,evt_tx_hash,account,amount_wei,event_type,evt_block_number
2024-12-13,2024-12-13 16:23:29.000 UTC,0xe2c765ce73c23deaa930da939c479fa12875d134f1e747cbc12bfdf627ea4d59,0x1ca33cff95e7eef86b080ab13851034cd3e9e457,,frozen,29286758
2024-12-16,2024-12-16 18:49:13.000 UTC,0x41598a47964bc70e569278c599f600dc568ed426e14b85d68bf691bd0783d2b9,0x1ca33cff95e7eef86b080ab13851034cd3e9e457,30672824591542995207235322,burnedfrozen,29340338
2024-12-16,2024-12-16 18:49:13.000 UTC,0x41598a47964bc70e569278c599f600dc568ed426e14b85d68bf691bd0783d2b9,0x1ca33cff95e7eef86b080ab13851034cd3e9e457,,frozen,29340338
2024-12-16,2024-12-16 18:49:13.000 UTC,0x41598a47964bc70e569278c599f600dc568ed426e14b85d68bf691bd0783d2b9,0x1ca33cff95e7eef86b080ab13851034cd3e9e457,,thawed,29340338
